Image,CD20p_S,CD3pCD8nPD1n_S,CD3pCD8nPD1p_S,CD3pCD8pPD1n_S,CD3pCD8pPD1p_S,CD68pPDL1n_S,CD68pPDL1p_S,CD79ApCD20n_S,CKpPDL1p_S,Negative_S,PD1p_S,CD20p_E,CD3pCD8nPD1n_E,CD3pCD8nPD1p_E,CD3pCD8pPD1n_E,CD3pCD8pPD1p_E,CD68pPDL1n_E,CD68pPDL1p_E,CD79ApCD20n_E,CKpPDL1p_E,Negative_E,PD1p_E,area_stroma,area_epi,SEC_ROW_COL,ID
"CIHR DOD WU3IROC_Core[1,1,10]_[20370,40626]_component_data.tif - resolution #1",2,1,0,13,0,41,1,2,0,1451,5,0,0,0,19,3,16,5,0,1,1820,1,0.179231,0.2082842,"1,1,10",006
"CIHR DOD WU3IROC_Core[1,1,9]_[20489,39337]_component_data.tif - resolution #1",2,4,0,13,1,15,4,0,0,812,5,0,1,1,9,4,14,1,0,1,2285,1,0.1164776,0.3069091,"1,1,9",006
"CIHR DOD WU3IROC_Core[1,2,1]_[19749,29338]_component_data.tif - resolution #1",0,53,27,27,3,229,0,5,0,2159,2,0,1,0,3,0,26,0,0,0,850,0,0.3177762,0.0893855,"1,2,1",008
"CIHR DOD WU3IROC_Core[1,2,10]_[19057,40578]_component_data.tif - resolution #1",6,18,25,19,3,62,25,30,2,651,12,0,9,7,9,15,68,39,3,95,2942,6,0.1167782,0.2796238,"1,2,10",014
"CIHR DOD WU3IROC_Core[1,2,2]_[19654,30531]_component_data.tif - resolution #1",0,18,23,100,21,199,6,0,0,1110,2,0,4,4,13,0,40,0,0,0,2512,0,0.143842,0.2384606,"1,2,2",008
"CIHR DOD WU3IROC_Core[1,2,8]_[19415,38120]_component_data.tif - resolution #1",0,6,7,7,6,68,1,0,0,359,3,0,5,4,1,2,81,2,3,0,1903,2,0.0744601,0.2851568,"1,2,8",013
"CIHR DOD WU3IROC_Core[1,2,9]_[19224,39313]_component_data.tif - resolution #1",164,184,207,124,44,100,73,76,5,1301,45,1,16,9,27,15,15,52,3,117,1390,1,0.2781512,0.1537664,"1,2,9",014
"CIHR DOD WU3IROC_Core[1,3,1]_[18437,29218]_component_data.tif - resolution #1",0,15,11,10,3,180,0,0,0,1341,0,0,9,7,6,0,111,0,0,0,2054,0,0.1790531,0.1824385,"1,3,1",020 (ov)
"CIHR DOD WU3IROC_Core[1,3,2]_[18508,30316]_component_data.tif - resolution #1",0,28,9,7,11,290,1,0,0,915,4,0,14,9,9,2,109,1,0,0,2561,1,0.11024060000000001,0.2680872,"1,3,2",020 (ov)
"CIHR DOD WU3IROC_Core[1,3,3]_[18508,31676]_component_data.tif - resolution #1",6,25,25,37,46,169,6,13,0,1034,7,0,5,0,1,1,4,0,0,0,98,0,0.2826612,0.0162549,"1,3,3",019 (om)
