Image	Neighborhood	CD3pCD8nPD1p	CD3pCD8pPD1n	CD68pPDL1n	CD3pCD8nPD1n	CD3pCD8pPD1p	CD79ApCD20n	PD1p	CD68pPDL1p	CD20p	LMA
CIHR DOD WU3IROC_Core[1,2,1]_[19749,29338]_component_data.tif - resolution #1	Cluster_1	2	3	11	0	0	0	0	0	0	1
CIHR DOD WU3IROC_Core[1,2,2]_[19654,30531]_component_data.tif - resolution #1	Cluster_1	8	43	11	7	8	0	0	1	0	2
CIHR DOD WU3IROC_Core[1,2,2]_[19654,30531]_component_data.tif - resolution #1	Cluster_2	0	9	5	0	1	0	0	2	0	2
CIHR DOD WU3IROC_Core[1,2,2]_[19654,30531]_component_data.tif - resolution #1	Cluster_3	0	4	20	1	1	0	0	0	0	1
CIHR DOD WU3IROC_Core[1,2,2]_[19654,30531]_component_data.tif - resolution #1	Cluster_4	1	4	10	1	1	0	0	1	0	3
CIHR DOD WU3IROC_Core[1,2,2]_[19654,30531]_component_data.tif - resolution #1	Cluster_5	3	6	11	3	2	0	0	2	0	3
CIHR DOD WU3IROC_Core[1,2,9]_[19224,39313]_component_data.tif - resolution #1	Cluster_1	8	1	2	1	3	2	0	0	0	4
CIHR DOD WU3IROC_Core[1,2,9]_[19224,39313]_component_data.tif - resolution #1	Cluster_2	9	0	3	6	1	0	4	0	3	4
CIHR DOD WU3IROC_Core[1,2,9]_[19224,39313]_component_data.tif - resolution #1	Cluster_3	83	34	31	60	14	17	11	37	115	4
CIHR DOD WU3IROC_Core[1,2,9]_[19224,39313]_component_data.tif - resolution #1	Cluster_4	4	6	0	4	0	0	3	5	0	5
CIHR DOD WU3IROC_Core[1,2,9]_[19224,39313]_component_data.tif - resolution #1	Cluster_5	20	3	3	9	5	3	2	6	9	4
CIHR DOD WU3IROC_Core[1,2,9]_[19224,39313]_component_data.tif - resolution #1	Cluster_6	5	1	3	0	0	1	2	0	5	4
CIHR DOD WU3IROC_Core[1,3,1]_[18437,29218]_component_data.tif - resolution #1	Cluster_1	2	4	30	1	3	0	0	0	0	1
CIHR DOD WU3IROC_Core[1,3,2]_[18508,30316]_component_data.tif - resolution #1	Cluster_1	2	2	5	3	3	0	1	0	0	4
CIHR DOD WU3IROC_Core[1,3,2]_[18508,30316]_component_data.tif - resolution #1	Cluster_2	2	1	75	0	7	0	0	0	0	1
CIHR DOD WU3IROC_Core[1,3,2]_[18508,30316]_component_data.tif - resolution #1	Cluster_3	2	2	54	2	1	0	0	1	0	1
CIHR DOD WU3IROC_Core[1,3,2]_[18508,30316]_component_data.tif - resolution #1	Cluster_4	0	0	51	1	0	0	0	0	0	1
CIHR DOD WU3IROC_Core[1,3,3]_[18508,31676]_component_data.tif - resolution #1	Cluster_1	1	2	6	1	5	1	1	0	0	4
CIHR DOD WU3IROC_Core[1,3,3]_[18508,31676]_component_data.tif - resolution #1	Cluster_2	3	4	6	0	2	1	0	0	0	3
CIHR DOD WU3IROC_Core[1,3,4]_[18437,32989]_component_data.tif - resolution #1	Cluster_1	1	0	2	4	2	6	0	3	5	6
CIHR DOD WU3IROC_Core[1,3,4]_[18437,32989]_component_data.tif - resolution #1	Cluster_2	6	1	6	8	3	0	3	0	43	4
CIHR DOD WU3IROC_Core[1,3,5]_[18437,34206]_component_data.tif - resolution #1	Cluster_1	1	0	19	0	0	0	0	4	0	1
CIHR DOD WU3IROC_Core[1,3,5]_[18437,34206]_component_data.tif - resolution #1	Cluster_2	11	18	2	3	2	1	4	0	3	2
CIHR DOD WU3IROC_Core[1,3,5]_[18437,34206]_component_data.tif - resolution #1	Cluster_3	5	23	2	7	2	4	3	0	1	2
CIHR DOD WU3IROC_Core[1,3,8]_[18222,37953]_component_data.tif - resolution #1	Cluster_1	1	1	4	0	3	0	0	8	0	7
CIHR DOD WU3IROC_Core[1,3,8]_[18222,37953]_component_data.tif - resolution #1	Cluster_2	0	4	1	1	6	0	0	9	0	5
CIHR DOD WU3IROC_Core[1,3,8]_[18222,37953]_component_data.tif - resolution #1	Cluster_3	4	4	11	2	4	0	2	10	0	3
CIHR DOD WU3IROC_Core[1,4,1]_[17148,29218]_component_data.tif - resolution #1	Cluster_1	1	0	68	0	1	0	0	0	0	1
CIHR DOD WU3IROC_Core[1,4,5]_[17077,34111]_component_data.tif - resolution #1	Cluster_1	2	4	8	1	1	0	0	0	0	3
CIHR DOD WU3IROC_Core[1,4,5]_[17077,34111]_component_data.tif - resolution #1	Cluster_2	2	3	17	2	2	0	1	8	0	3
CIHR DOD WU3IROC_Core[1,4,5]_[17077,34111]_component_data.tif - resolution #1	Cluster_3	0	0	18	0	0	0	0	0	0	1
CIHR DOD WU3IROC_Core[1,4,5]_[17077,34111]_component_data.tif - resolution #1	Cluster_4	0	0	29	0	0	0	0	0	0	1
CIHR DOD WU3IROC_Core[1,4,9]_[16742,39194]_component_data.tif - resolution #1	Cluster_1	2	0	19	4	0	1	1	13	0	3
CIHR DOD WU3IROC_Core[1,4,9]_[16742,39194]_component_data.tif - resolution #1	Cluster_2	1	1	15	1	0	0	0	9	0	3
CIHR DOD WU3IROC_Core[1,5,1]_[15931,29147]_component_data.tif - resolution #1	Cluster_1	3	1	10	4	3	0	0	1	0	3
