Image,Neighborhood,CD3pCD8nPD1n,CD3pCD8nPD1p,CD3pCD8pPD1n,CD68pPDL1n,CD68pPDL1p,CD3pCD8pPD1p,CD79ApCD20p,CD79ApCD20n,CD3nPD1p,LMA
"032(OM)_[11423,43140]_component_data.tif - resolution #1",Cluster_1,18,1,8,2,8,0,0,0,0,1
"032(OM)_[11423,43140]_component_data.tif - resolution #1",Cluster_10,32,3,14,5,25,2,2,0,0,1
"032(OM)_[11423,43140]_component_data.tif - resolution #1",Cluster_11,6,0,6,2,4,0,0,0,0,2
"032(OM)_[11423,43140]_component_data.tif - resolution #1",Cluster_12,19,0,3,0,1,0,0,0,0,2
"032(OM)_[11423,43140]_component_data.tif - resolution #1",Cluster_13,5,1,8,2,0,1,0,0,0,3
"032(OM)_[11423,43140]_component_data.tif - resolution #1",Cluster_14,9,2,11,1,12,1,1,1,0,1
"032(OM)_[11423,43140]_component_data.tif - resolution #1",Cluster_15,17,1,28,0,7,1,1,0,0,3
"032(OM)_[11423,43140]_component_data.tif - resolution #1",Cluster_16,9,2,3,1,0,0,1,1,0,2
"032(OM)_[11423,43140]_component_data.tif - resolution #1",Cluster_17,14,0,6,1,1,0,0,0,0,2
"032(OM)_[11423,43140]_component_data.tif - resolution #1",Cluster_18,17,3,6,2,7,1,0,0,0,1
"032(OM)_[11423,43140]_component_data.tif - resolution #1",Cluster_19,44,5,32,7,16,2,1,2,1,2
"032(OM)_[11423,43140]_component_data.tif - resolution #1",Cluster_2,16,6,9,9,11,0,0,0,0,2
"032(OM)_[11423,43140]_component_data.tif - resolution #1",Cluster_20,79,12,46,8,31,3,5,1,0,2
"032(OM)_[11423,43140]_component_data.tif - resolution #1",Cluster_21,7,3,6,0,7,0,0,0,0,1
"032(OM)_[11423,43140]_component_data.tif - resolution #1",Cluster_22,7,0,6,2,0,0,2,0,0,2
"032(OM)_[11423,43140]_component_data.tif - resolution #1",Cluster_23,9,0,4,5,0,0,0,0,0,4
"032(OM)_[11423,43140]_component_data.tif - resolution #1",Cluster_24,46,9,39,3,15,0,5,0,0,2
"032(OM)_[11423,43140]_component_data.tif - resolution #1",Cluster_25,7,4,2,1,6,0,0,0,0,1
"032(OM)_[11423,43140]_component_data.tif - resolution #1",Cluster_26,12,8,7,0,35,4,1,0,2,5
"032(OM)_[11423,43140]_component_data.tif - resolution #1",Cluster_27,6,1,8,4,6,0,1,0,0,3
"032(OM)_[11423,43140]_component_data.tif - resolution #1",Cluster_28,10,1,14,0,7,0,0,0,0,1
"032(OM)_[11423,43140]_component_data.tif - resolution #1",Cluster_29,45,5,42,1,23,3,1,0,0,2
"032(OM)_[11423,43140]_component_data.tif - resolution #1",Cluster_3,11,2,0,10,2,2,0,0,0,4
"032(OM)_[11423,43140]_component_data.tif - resolution #1",Cluster_30,13,0,2,2,1,0,0,0,0,2
"032(OM)_[11423,43140]_component_data.tif - resolution #1",Cluster_31,4,1,2,0,10,0,0,0,1,5
"032(OM)_[11423,43140]_component_data.tif - resolution #1",Cluster_32,7,0,8,0,6,0,0,0,0,1
"032(OM)_[11423,43140]_component_data.tif - resolution #1",Cluster_33,4,0,6,0,11,0,1,0,0,1
"032(OM)_[11423,43140]_component_data.tif - resolution #1",Cluster_34,7,0,15,0,1,0,1,0,0,3
"032(OM)_[11423,43140]_component_data.tif - resolution #1",Cluster_35,9,1,16,0,6,0,1,0,0,3
"032(OM)_[11423,43140]_component_data.tif - resolution #1",Cluster_36,10,0,14,2,3,1,0,0,0,3
"032(OM)_[11423,43140]_component_data.tif - resolution #1",Cluster_37,8,3,5,0,11,0,2,0,0,1
"032(OM)_[11423,43140]_component_data.tif - resolution #1",Cluster_38,5,1,6,0,8,0,0,0,0,1
"032(OM)_[11423,43140]_component_data.tif - resolution #1",Cluster_39,10,1,11,0,9,0,0,0,0,1
"032(OM)_[11423,43140]_component_data.tif - resolution #1",Cluster_4,18,0,17,12,3,1,0,0,0,4
"032(OM)_[11423,43140]_component_data.tif - resolution #1",Cluster_40,16,1,33,0,2,0,0,0,0,3
"032(OM)_[11423,43140]_component_data.tif - resolution #1",Cluster_41,31,4,28,0,26,1,1,0,0,1
"032(OM)_[11423,43140]_component_data.tif - resolution #1",Cluster_42,49,7,65,3,37,0,4,0,0,2
"032(OM)_[11423,43140]_component_data.tif - resolution #1",Cluster_43,7,2,13,5,4,0,0,0,0,2
"032(OM)_[11423,43140]_component_data.tif - resolution #1",Cluster_44,13,2,10,5,1,0,0,0,0,2
"032(OM)_[11423,43140]_component_data.tif - resolution #1",Cluster_45,4,1,24,0,3,1,0,0,0,3
"032(OM)_[11423,43140]_component_data.tif - resolution #1",Cluster_46,5,1,7,0,9,0,0,0,0,1
"032(OM)_[11423,43140]_component_data.tif - resolution #1",Cluster_47,10,1,18,2,10,0,1,0,0,1
